epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.47487,2.08858,4.00893,1.11464,0,0,0,0,1.95005,3.96641,1.07549,0,0,0
2,2.72899,2.44816,4.12491,1.12008,0,0,0,0,1.92169,3.9641,1.06707,1.6615e-05,1.6615e-05,1.6615e-05
3,3.68726,2.04163,4.02306,1.14496,0,0,0,0,1.87619,3.96,1.05381,3.312e-05,3.312e-05,3.312e-05
4,4.6376,2.01632,4.01369,1.16311,0,0,0,0,1.82482,3.95467,1.03814,4.95149e-05,4.95149e-05,4.95149e-05
5,5.62838,1.93875,3.95908,1.10277,0.00118,0.0125,0.00061,0.00043,1.7749,3.94468,1.02659,6.57998e-05,6.57998e-05,6.57998e-05
6,6.58909,1.99065,3.87549,1.12386,0.00235,0.025,0.00125,0.00062,1.76011,3.91439,1.01732,8.19747e-05,8.19747e-05,8.19747e-05
7,7.54287,1.87165,3.82924,1.0211,0.02968,0.225,0.01919,0.0084,1.77164,3.8419,1.00233,9.80396e-05,9.80396e-05,9.80396e-05
8,8.65552,1.84938,3.72409,1.01794,0.09061,0.7125,0.08097,0.03106,1.86408,3.76932,1.00637,0.000113994,0.000113994,0.000113994
9,9.76038,1.91475,3.60609,1.0076,0.12279,0.95417,0.12743,0.04951,1.92739,3.72567,1.01132,0.000129839,0.000129839,0.000129839
10,10.6703,1.87455,3.47386,0.97517,0.12693,0.97917,0.13955,0.05836,1.93639,3.68125,1.01096,0.000145574,0.000145574,0.000145574
11,11.6537,1.9273,3.21067,1.0177,0.12844,0.99583,0.14462,0.06188,1.92151,3.64037,1.00344,0.000161199,0.000161199,0.000161199
12,12.5991,1.82674,2.98156,1.01243,0.12692,0.99583,0.14838,0.06677,1.86709,3.59631,0.99195,0.000176714,0.000176714,0.000176714
13,13.5412,1.77723,2.65552,1.01663,0.12643,0.99167,0.14679,0.06874,1.80578,3.55062,0.97863,0.000192118,0.000192118,0.000192118
14,14.4651,1.85869,2.51335,0.94713,0.12539,0.99167,0.15225,0.07084,1.76953,3.50093,0.96872,0.000207413,0.000207413,0.000207413
15,15.5082,1.81832,2.34159,0.93932,0.12555,0.99583,0.17602,0.07036,1.76027,3.45289,0.96632,0.000222598,0.000222598,0.000222598
16,16.5137,1.7201,2.08945,1.03812,0.1254,0.99583,0.33417,0.1123,1.77976,3.38724,0.9732,0.000237673,0.000237673,0.000237673
17,17.5594,1.70172,1.99827,1.01734,0.12445,0.99167,0.43243,0.14889,1.78415,3.29538,0.97712,0.000252637,0.000252637,0.000252637
18,18.477,1.99373,1.74251,0.99584,0.12445,0.99167,0.43243,0.14889,1.78415,3.29538,0.97712,0.000267492,0.000267492,0.000267492
19,19.6187,1.86044,1.90734,0.97429,0.1258,0.99167,0.46056,0.17887,1.7672,3.18202,0.97223,0.000282236,0.000282236,0.000282236
20,20.5039,1.82311,1.63113,0.9678,0.1258,0.99167,0.46056,0.17887,1.7672,3.18202,0.97223,0.000296871,0.000296871,0.000296871
21,21.5278,1.97328,1.50804,1.09635,0.1279,0.99167,0.53484,0.21979,1.76493,3.05046,0.9758,0.000311396,0.000311396,0.000311396
22,22.4494,1.77326,1.52775,0.99329,0.1279,0.99167,0.53484,0.21979,1.76493,3.05046,0.9758,0.00032581,0.00032581,0.00032581
23,23.5254,1.95753,1.60008,0.94507,0.1296,0.9875,0.5481,0.22492,1.77354,2.93386,0.97563,0.000340115,0.000340115,0.000340115
24,24.4139,1.82267,1.49636,0.9493,0.1296,0.9875,0.5481,0.22492,1.77354,2.93386,0.97563,0.000354309,0.000354309,0.000354309
