epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86369,2.09558,4.03621,1.19083,0,0,0,0,1.7864,3.96357,1.05308,0,0,0
2,4.60498,1.93511,4.01044,1.13747,0,0,0,0,1.75836,3.9606,1.04417,1.6615e-05,1.6615e-05,1.6615e-05
3,6.02598,1.87953,4.01798,1.10876,0,0,0,0,1.70922,3.95525,1.03062,3.312e-05,3.312e-05,3.312e-05
4,7.41776,1.90661,4.01185,1.07557,0.0006,0.00625,0.0003,0.00018,1.65848,3.94673,1.01569,4.95149e-05,4.95149e-05,4.95149e-05
5,8.76946,2.0085,3.90824,1.07232,0.00351,0.03542,0.00185,0.00078,1.62345,3.91973,1.00223,6.57998e-05,6.57998e-05,6.57998e-05
6,10.1962,1.81392,3.85845,1.05281,0.03971,0.275,0.02955,0.01396,1.61188,3.84701,0.98321,8.19747e-05,8.19747e-05,8.19747e-05
7,11.6268,1.73013,3.73107,1.00632,0.07192,0.49583,0.07912,0.03786,1.61993,3.75859,0.96059,9.80396e-05,9.80396e-05,9.80396e-05
8,12.9329,1.70907,3.6702,0.97521,0.10359,0.7625,0.12561,0.06057,1.68951,3.69636,0.96377,0.000113994,0.000113994,0.000113994
9,14.2137,1.68068,3.35811,0.99939,0.10359,0.7625,0.12561,0.06057,1.68951,3.69636,0.96377,0.000129839,0.000129839,0.000129839
10,15.6147,1.67548,3.51432,0.97758,0.11926,0.91667,0.13925,0.06903,1.70394,3.6462,0.9609,0.000145574,0.000145574,0.000145574
11,16.9218,1.71322,3.16754,0.96394,0.11926,0.91667,0.13925,0.06903,1.70394,3.6462,0.9609,0.000161199,0.000161199,0.000161199
12,18.3046,1.73546,3.27484,0.93375,0.12328,0.95417,0.14485,0.07159,1.7035,3.60578,0.9611,0.000176714,0.000176714,0.000176714
13,19.715,1.85,3.01295,0.93801,0.12328,0.95417,0.14485,0.07159,1.7035,3.60578,0.9611,0.000192118,0.000192118,0.000192118
14,21.0769,1.74467,3.04817,0.9355,0.12544,0.98333,0.15137,0.07396,1.71211,3.54918,0.96302,0.000207413,0.000207413,0.000207413
15,22.3456,1.79465,2.62394,0.97126,0.12544,0.98333,0.15137,0.07396,1.71211,3.54918,0.96302,0.000222598,0.000222598,0.000222598
